SYNTHETIC MUNICIPAL REGISTER — fictional people and places
Municipality: Auenfels
Year: 1930

01. W. Meyer ; born 1865 ; role=archivist ; addr=Marktstrasse 7
02. Emil Hoffmann ; born ? ; role=archivist ; addr=?
03. Paul Schmidn ; born 1868 ; role=registrar ; addr=Marktstrasse 7
04. Karl Wolf ; born 1894 ; role=clerk ; addr=Marktstrasse 4
05. Helene Richter ; born 1880 ; role=clerk ; addr=Marktstrasse 12
06. Otto Schäfer ; born 1885 ; role=archivist ; addr=Gartenweg 35
07. Marta Koch ; born 1892 ; role=clerk ; addr=Gartenweg 28
08. Marta Mueller ; born 1892 ; role=clerk ; addr=Marktstrasse 4
09. Anna Wagnen ; born ? ; role=archivist ; addr=Marktstrasse 22
10. Frieda Wagner ; born 1880 ; role=inspector ; addr=Gartenweg 40
11. Max Weber ; born 1879 ; role=inspector ; addr=?
12. C. Koch ; born 1895 ; role=registrar ; addr=Marktstrasse 7
13. Emil Meyer ; born ? ; role=clerk ; addr=?
14. Ida Bauer ; born 1887 ; role=clerk ; addr=Gartenweg 1
15. Ernst Bauer ; born 1892 ; role=inspector ; addr=Marktstrasse 31
16. Paul Weber ; born 1870 ; role=inspector ; addr=Marktstrasse 18
17. Emil Meyer ; born ? ; role=clerk ; addr=?
18. Frieda Meyer ; born 1866 ; role=engineer ; addr=?
19. O. Richter ; born 1870 ; role=archivist ; addr=Marktstrasse 2
20. Anna Meyer ; born 1883 ; role=archivist ; addr=Marktstrasse 4
[illegible fragment: row structure could not be recovered]
