SYNTHETIC MUNICIPAL REGISTER — fictional people and places
Municipality: Eichenried
Year: 1930

01. Max Klein ; born ? ; role=engineer ; addr=?
02. Walter Richter ; born 1891 ; role=registrar ; addr=Marktstrasse 13
03. Anna Fischer ; born 1867 ; role=archivist ; addr=Gartenweg 30
04. Max Bauer ; born 1894 ; role=archivist ; addr=?
05. Emil Meyer ; born ? ; role=clerk ; addr=?
06. O. Weben ; born 1868 ; role=clerk ; addr=Marktstrasse 31
07. Emil Meyer ; born ? ; role=clerk ; addr=?
08. I. Richter ; born ? ; role=clerk ; addr=?
09. Marta Becken ; born 1867 ; role=registrar ; addr=Marktstrasse 32
10. Fritz Richten ; born ? ; role=registrar ; addr=Marktstrasse 18
11. Karl Becken ; born 1865 ; role=inspector ; addr=Marktstrasse 35
12. Paul Richter ; born 1886 ; role=archivist ; addr=Gartenweg 38
13. Fritz Klein ; born 1881 ; role=engineer ; addr=Gartenweg 35
14. C. Wolf ; born 1877 ; role=engineer ; addr=Marktstrasse 8
15. Fritz Fischer ; born 1865 ; role=engineer ; addr=Marktstrasse 4
16. Clara Klein ; born 1887 ; role=registrar ; addr=Gartenweg 8
17. Luise Richter ; born 1886 ; role=engineer ; addr=Marktstrasse 14
18. Paul Schaefer ; born 1883 ; role=registrar ; addr=Marktstrasse 37
19. A. Koch ; born 1874 ; role=inspector ; addr=Marktstrasse 17
20. Paul Becker ; born ? ; role=registrar ; addr=Marktstrasse 22
[illegible fragment: row structure could not be recovered]
